sku,old_external_product_id,new_external_product_id,classification,ecl_id,old_mapping_status
mk1838,mk1838,698933481,A_UPDATE_REPLACE_OLD_ID,e281401b-2c64-4377-9a44-a11b6abf8a77,active
mk2047,mk2047,698933482,A_UPDATE_REPLACE_OLD_ID,c4f6065d-2cb7-469e-84c0-a8db6a4b8529,active
mk1864,mk1864,698933483,A_UPDATE_REPLACE_OLD_ID,0808b615-fe3f-4a0b-97c5-8e2041e24311,active
mk2227,mk2227,698933484,A_UPDATE_REPLACE_OLD_ID,218f5457-ddb6-4e4c-abbc-884ba8e2982a,active
mk2079,mk2079,698933485,A_UPDATE_REPLACE_OLD_ID,d8036d08-de66-4305-bcbe-3899cc677a43,active
mk1042,694188088,698933487,A_UPDATE_REPLACE_OLD_ID,a947d3d0-e3d5-4ae8-ba49-26d4d1048251,active
mk1199,mk1199,698933488,A_UPDATE_REPLACE_OLD_ID,11dbe866-9390-4ecc-98be-9d4f9c1249e7,active
mk1172,mk1172,698933489,A_UPDATE_REPLACE_OLD_ID,4377aecd-e131-4409-b496-20ada60e6ac9,active
mk851,695343081,698933491,A_UPDATE_REPLACE_OLD_ID,79b4a0e6-aedc-4cb7-af56-a8c25b0c9085,active
mk1354,691441887,698933493,A_UPDATE_REPLACE_OLD_ID,3c4f564a-501e-4d86-83a9-b12f1545c35c,active
mk2242,,698933494,C_INSERT_NO_EXISTING_ROW,,
mk2190,mk2190,698933495,A_UPDATE_REPLACE_OLD_ID,3feb3e78-0846-4431-9e3f-78f78a627506,active
mk2275,,698933497,C_INSERT_NO_EXISTING_ROW,,
mk1217,mk1217,698933498,A_UPDATE_REPLACE_OLD_ID,164a64c0-9397-40f2-9f6e-f20ed4a19c88,active
mk914,mk914,698933499,A_UPDATE_REPLACE_OLD_ID,a9ff457f-f394-499e-ae02-733d39fe13dc,active
mk2041,mk2041,698933500,A_UPDATE_REPLACE_OLD_ID,4a783370-d4d3-4f5f-9863-8d2393f630ce,active
mk1110,mk1110,698933502,A_UPDATE_REPLACE_OLD_ID,19ff51ab-8266-4183-a4b2-9d64d52d767c,active
mk1790,691300501,698933503,A_UPDATE_REPLACE_OLD_ID,58dbde90-500e-4c21-9e21-1bdc9badfc4c,active
